
2025-03-12T01:18:10.955Z [INFO] جاري تهيئة قاعدة البيانات...
2025-03-12T01:18:13.406Z [INFO] اكتملت عملية تهيئة قاعدة البيانات بنجاح
2025-03-12T01:18:38.257Z [INFO] GET /@fs/home/runner/workspace/node_modules/@fontsource/noto-kufi-arabic/files/noto-kufi-arabic-arabic-400-normal.woff2 - 304 - 234ms
2025-03-12T01:18:38.258Z [INFO] GET /@fs/home/runner/workspace/node_modules/@fontsource/noto-kufi-arabic/files/noto-kufi-arabic-arabic-700-normal.woff2 - 304 - 233ms
2025-03-12T01:18:38.314Z [INFO] GET /@fs/home/runner/workspace/node_modules/@fontsource/noto-kufi-arabic/files/noto-kufi-arabic-latin-400-normal.woff2 - 304 - 233ms
2025-03-12T01:18:38.316Z [INFO] GET /@fs/home/runner/workspace/node_modules/@fontsource/noto-kufi-arabic/files/noto-kufi-arabic-latin-700-normal.woff2 - 304 - 234ms
2025-03-12T01:18:38.974Z [INFO] GET /@fs/home/runner/workspace/node_modules/@fontsource/noto-kufi-arabic/files/noto-kufi-arabic-arabic-400-normal.woff2 - 304 - 235ms
2025-03-12T01:18:38.984Z [INFO] GET /@fs/home/runner/workspace/node_modules/@fontsource/noto-kufi-arabic/files/noto-kufi-arabic-arabic-700-normal.woff2 - 304 - 231ms
2025-03-12T01:18:39.044Z [INFO] GET /@fs/home/runner/workspace/node_modules/@fontsource/noto-kufi-arabic/files/noto-kufi-arabic-latin-700-normal.woff2 - 304 - 232ms
2025-03-12T01:18:39.045Z [INFO] GET /@fs/home/runner/workspace/node_modules/@fontsource/noto-kufi-arabic/files/noto-kufi-arabic-latin-400-normal.woff2 - 304 - 232ms
2025-03-12T01:18:50.199Z [INFO] POST /api/auth/login - 200 - 1437ms
2025-03-12T01:18:51.898Z [INFO] GET /socket.io/?EIO=4&transport=polling&t=8ew42ay5 - 200 - 945ms
2025-03-12T01:18:52.169Z [INFO] GET /api/exchange-rate - 500 - 967ms
2025-03-12T01:18:53.385Z [INFO] GET /api/customers - 500 - 2351ms
2025-03-12T01:18:53.582Z [INFO] GET /api/products - 304 - 2581ms
2025-03-12T01:18:54.328Z [INFO] GET /api/sales - 304 - 3311ms
2025-03-12T01:18:54.391Z [INFO] GET /socket.io/?EIO=4&transport=polling&t=8exo8g4i - 200 - 1642ms
2025-03-12T01:18:56.384Z [INFO] GET /api/appointments - 500 - 934ms
2025-03-12T01:18:56.396Z [INFO] GET /api/customers - 500 - 930ms
2025-03-12T01:18:56.411Z [INFO] GET /api/reports/appointments?startDate=2025-03-01T01%3A18%3A56.071Z&endDate=2025-03-12T01%3A18%3A56.071Z - 400 - 935ms
2025-03-12T01:18:57.384Z [INFO] GET /api/exchange-rate - 500 - 939ms
2025-03-12T01:18:57.385Z [INFO] GET /socket.io/?EIO=4&transport=polling&t=8f0j2qza - 200 - 937ms
2025-03-12T01:18:58.537Z [INFO] GET /socket.io/?EIO=4&transport=polling&t=8f1dqwd7 - 200 - 937ms
2025-03-12T01:18:59.783Z [INFO] GET /api/exchange-rate - 500 - 934ms
2025-03-12T01:18:59.784Z [INFO] GET /api/customers - 500 - 937ms
2025-03-12T01:19:05.035Z [INFO] GET /api/exchange-rate - 500 - 936ms
2025-03-12T01:19:05.052Z [INFO] GET /socket.io/?EIO=4&transport=polling&t=8f6fdkw3 - 200 - 952ms
2025-03-12T01:25:54.732Z [INFO] جاري تهيئة قاعدة البيانات...
2025-03-12T01:25:56.616Z [INFO] اكتملت عملية تهيئة قاعدة البيانات بنجاح
2025-03-12T01:25:56.617Z [INFO] تم إعداد نظام المصادقة بنجاح
2025-03-12T01:25:56.620Z [INFO] تم تسجيل جميع المسارات بنجاح
2025-03-12T01:25:56.661Z [INFO] تم إعداد Vite للتطوير
2025-03-12T01:25:56.663Z [INFO] الخادم يعمل على المنفذ 5000 في وضع التطوير
2025-03-12T01:26:01.551Z [INFO] GET / - 200 - 2786ms
2025-03-12T01:26:03.782Z [INFO] GET / - 200 - 2230ms
2025-03-12T01:26:04.633Z [INFO] GET /@vite/client - 200 - 2307ms
2025-03-12T01:26:05.574Z [INFO] GET /@vite/client - 304 - 938ms
2025-03-12T01:26:05.854Z [INFO] GET /@fs/home/runner/workspace/node_modules/vite/dist/client/env.mjs - 304 - 936ms
2025-03-12T01:26:06.280Z [INFO] GET /src/main.tsx?v=qmYsRfhtrw1Vq1x9JPXXH - 200 - 3322ms
2025-03-12T01:26:06.991Z [INFO] GET /@react-refresh - 304 - 3271ms
2025-03-12T01:26:07.502Z [INFO] GET /src/pages/inventory.tsx?v=qmYsRfhtrw1Vq1x9JPXXH - 200 - 936ms
2025-03-12T01:26:07.505Z [INFO] GET /src/App.tsx?v=qmYsRfhtrw1Vq1x9JPXXH - 200 - 938ms
2025-03-12T01:26:07.777Z [INFO] GET /@fs/home/runner/workspace/node_modules/vite/dist/client/env.mjs - 304 - 1642ms
2025-03-12T01:26:08.164Z [INFO] GET /src/pages/settings.tsx?v=qmYsRfhtrw1Vq1x9JPXXH - 200 - 940ms
2025-03-12T01:26:08.266Z [INFO] GET /src/pages/reports.tsx?v=qmYsRfhtrw1Vq1x9JPXXH - 200 - 1648ms
2025-03-12T01:26:08.402Z [INFO] GET /src/main.tsx?v=KBdZLm89f6cRuH5Eda5mr - 200 - 4372ms
2025-03-12T01:26:08.688Z [INFO] GET /src/pages/pos.tsx?v=qmYsRfhtrw1Vq1x9JPXXH - 200 - 935ms
2025-03-12T01:26:08.697Z [INFO] GET /src/pages/sales-history.tsx?v=qmYsRfhtrw1Vq1x9JPXXH - 200 - 933ms
2025-03-12T01:26:08.951Z [INFO] GET /src/pages/sales-analytics.tsx?v=qmYsRfhtrw1Vq1x9JPXXH - 200 - 935ms
2025-03-12T01:26:09.331Z [INFO] GET /src/pages/product-recommendation.tsx?v=qmYsRfhtrw1Vq1x9JPXXH - 200 - 938ms
2025-03-12T01:26:09.513Z [INFO] GET /src/pages/ai-analytics.tsx?v=qmYsRfhtrw1Vq1x9JPXXH - 200 - 939ms
2025-03-12T01:26:09.576Z [INFO] GET /src/index.css?v=qmYsRfhtrw1Vq1x9JPXXH - 200 - 938ms
2025-03-12T01:26:09.881Z [INFO] GET /src/components/ai/product-recommendations.tsx?v=qmYsRfhtrw1Vq1x9JPXXH - 200 - 950ms
